Regulator	Target	MI	pvalue
MYSM1	ANKRD36B	0.39726556097150456	0.0031681260384378573
BNC2	ASPN	0.615548763157113	1.3370095167997142E-5
ZEB1	GPR176	0.4503400541882834	0.0031681260384378573
ZNF396	ELP2	0.3843215680550335	1.3370095167997142E-5
PHTF2	INHBA	0.26700967371921913	0.0031681260384378573
MSC	BMP1	0.4754766758664224	0.0031681260384378573
MSL3	FAM123B	0.34557750157634165	1.3370095167997142E-5
ZNF598	C16orf59	0.4544778744155362	0.0
HDAC5	CBX7	0.34558244331347865	4.956476429285317E-8
BRMS1L	SNAPC1	0.2392519727426149	0.0
DNM2	UPF1	0.4023363054506552	4.956476429285317E-8
ZNF598	C16orf91	0.519515283695223	0.0031681260384378573
ZMAT5	NDUFA6	0.3896674330141175	4.956476429285317E-8
CREB3L4	ICA1	0.35110564185624105	4.956476429285317E-8
PIM1	TMCC2	0.39944894249090535	0.0031681260384378573
ERCC3	SLC4A1AP	0.22957878582772562	0.0031681260384378573
ZDHHC8	PRR5	0.3613740152527054	1.3370095167997142E-5
ZNF598	KLF16	0.483851479408584	0.0031681260384378573
SPI1	SLC16A3	0.32880476161517214	0.0031681260384378573
MDFI	UGCG	0.2773110498857346	1.3370095167997142E-5
RUVBL2	GRWD1	0.607768012355528	0.0
KCNIP3	EMID1	0.18922493839802978	0.0031681260384378573
MED23	FAM120B	0.39912131307284965	1.3370095167997142E-5
ZNF451	PIK3C2A	0.4110202955850779	0.0031681260384378573
ZNF396	WDR5B	0.30043849353116214	0.0031681260384378573
TIAL1	NOC3L	0.2637966577175972	0.0031681260384378573
EAF1	KLHL11	0.43919472522977987	1.3370095167997142E-5
ETV1	SEMA5A	0.5674345309390193	4.956476429285317E-8
MEOX2	RNF125	0.4294788805715186	0.0031681260384378573
ZC3HAV1L	RIF1	0.5342170913016159	0.0
E4F1	C16orf79	0.5635930267632998	0.0
ZNF766	ZNF816A	0.43585353410581157	0.0
BLZF1	GOLPH3L	0.3488987791877203	0.0031681260384378573
E4F1	C16orf93	0.47917985972091226	0.0031681260384378573
PRIC285	CMPK2	0.3470869443265248	4.956476429285317E-8
BTAF1	TNKS2	0.5979324996453255	0.0
NDN	PCBP3	0.42801564335389913	1.3370095167997142E-5
MAPRE3	AP3B2	0.20189471299429015	1.3370095167997142E-5
FOXO1	FOXN3	0.6352364321430348	0.0
HIVEP2	IGF2R	0.36616554949842506	0.0
KLF16	STK11	0.6315975430821827	0.0031681260384378573
GATA3	CNGA1	0.35758430709539435	0.0031681260384378573
TAF1D	MKI67IP	0.2542736080608585	4.956476429285317E-8
HKR1	NR2E3	0.24751547955316622	0.0031681260384378573
PRRX2	TMEM158	0.34004294397881624	4.956476429285317E-8
TCF3	SH3GL1	0.4191307828233552	0.0
ZNF358	HSD11B1L	0.3521588279177605	1.3370095167997142E-5
TRIM29	CSRP1	0.37560623885079125	0.0031681260384378573
LASS6	WWP1	0.38630255202005137	0.0031681260384378573
NDN	PODN	0.8149317792676072	0.0
ZNF24	GUF1	0.313661845577317	0.0031681260384378573
ZNF296	RASSF7	0.4102931954754343	4.956476429285317E-8
SPI1	SLC17A9	0.2780562550500232	0.0031681260384378573
ZC3H12C	MAML2	0.5303358031337904	0.0031681260384378573
HOMEZ	ACIN1	0.2177348975334865	0.0
IGHMBP2	CCDC90B	0.1842487097915793	1.3370095167997142E-5
RUVBL1	CCDC58	0.40913483148998	0.0
MCM5	MORC2	0.3420325792702702	1.3370095167997142E-5
CBX7	GPRASP1	0.48282825629583426	1.3370095167997142E-5
ZNF628	ZNF414	0.605640606866385	0.0
NR3C1	DBNDD1	0.32393670723854906	0.0031681260384378573
ZNF692	GOLGA2B	0.33031977662328044	1.3370095167997142E-5
RNF141	USP47	0.4024270584604213	0.0
CARD11	FAM78A	0.9669322655875107	1.3370095167997142E-5
GATA3	FAM110B	0.2819119675769879	0.0031681260384378573
LIN54	KLHL8	0.4025259546658406	0.0031681260384378573
GLI1	FREM1	0.5171111609193414	0.0
ZBTB12	EHMT2	0.5548402248265578	0.0
ECD	XRCC5	0.23872709734217246	0.0031681260384378573
ESR1	SLC16A10	0.3197872629139045	1.3370095167997142E-5
CCNT2	ORC2L	0.4016443761498637	1.3370095167997142E-5
ACTL6A	SFRS1	0.407882007948668	0.0031681260384378573
BACH1	HS2ST1	0.34509740718922854	0.0031681260384378573
PRDX3	TRUB1	0.2837792218804428	0.0
ZNF434	ABAT	0.37458497850679207	4.956476429285317E-8
CALR	PDIA3P	0.33164875019583967	0.0
SFRS2	PIF1	0.330764003147414	4.956476429285317E-8
CSDE1	GNAI3	0.33406603243350075	4.956476429285317E-8
TIGD1	ZNF793	0.19620100867425738	0.0031681260384378573
NOTCH4	ROBO4	0.9103101171392793	0.0
TERF2	POLR2C	0.3468464419773043	4.956476429285317E-8
SP140	ITGB7	0.7135350945578923	0.0
ZNF664	ZNF322A	0.33683465918821565	0.0031681260384378573
HCLS1	SAT1	0.2500468940135676	0.0031681260384378573
CDC5L	MSH2	0.4000221327537766	0.0
PEX14	XKR8	0.3453207957948641	0.0
CHD3	KDM6B	0.22202288893602978	1.3370095167997142E-5
CELSR2	CASZ1	0.28336954694606176	0.0031681260384378573
BDP1	RICTOR	0.5717458248338622	4.956476429285317E-8
TAF1B	SMC6	0.2849000899787134	1.3370095167997142E-5
ADRB2	IL33	0.5726777148328426	0.0031681260384378573
ZNF395	PCM1	0.36438915896017476	0.0
ZUFSP	NUP43	0.32050148695761554	4.956476429285317E-8
SAFB	CCHCR1	0.46756210536143405	0.0
KDM5B	LOC150381	0.2646933579325206	0.0
TGIF1	VAPA	0.20160005478829848	0.0
SLC11A1	UPP1	0.3047605201111938	0.0031681260384378573
ZFYVE16	STAM2	0.4822226968327052	4.956476429285317E-8
ZNF653	TMED1	0.5708694211862801	0.0031681260384378573
FABP4	GYG2	0.5307517310535471	0.0
ETV3	ETV3L	0.4278148591085701	0.0
ZNF213	HN1L	0.3472404570721231	0.0
ELF5	B3GNT3	0.34884977792291005	0.0031681260384378573
IFT57	MLF1	0.16856485443295322	0.0
ZNF140	BRAP	0.24180836420826823	0.0031681260384378573
NDN	SSX2IP	0.3365934111398279	0.0031681260384378573
TLR4	C3AR1	0.6159553411640765	0.0
SPIB	ZAP70	0.6590525124585889	0.0
KAT2A	POLG2	0.2322306936087712	0.0
DNAJA3	ZNF263	0.3490058199339754	0.0031681260384378573
ERCC2	MEGF8	0.22476361401484413	0.0031681260384378573
ASXL2	DYNC1H1	0.3710328504065481	0.0031681260384378573
IRAK1BP1	PCNXL2	0.19025956327121785	0.0031681260384378573
ING3	CACHD1	0.3502477741647876	0.0031681260384378573
ZC3H15	SGOL2	0.33052959483034694	0.0
TRIM27	ABCF1	0.38448585473557895	1.3370095167997142E-5
TCEAL7	PAMR1	0.6046726162240175	4.956476429285317E-8
SNIP1	MTF1	0.44233941185306536	0.0
DVL3	FAM131A	0.17873517802621794	1.3370095167997142E-5
CD86	CHST11	0.5099989467330548	0.0031681260384378573
ASXL2	PTPLB	0.6776993773747302	0.0031681260384378573
ASXL2	PTPN4	0.4714073702950598	1.3370095167997142E-5
SUPT4H1	RPS6KB1	0.29241688212953687	0.0
MXD4	SLMO2	0.321063777298781	4.956476429285317E-8
ACTR5	LOC388796	0.2830649122945717	1.3370095167997142E-5
ZEB1	ZEB2	0.7782072619738878	0.0
ZBTB8OS	LSM10	0.39011635162861724	0.0
CHMP1A	CIAPIN1	0.3315787445484092	0.0
CSDA	CXCL1	0.42122039881334333	4.956476429285317E-8
ZNF623	KIAA1429	0.4832987373546145	0.0031681260384378573
ZNF746	REPIN1	0.4970590400704813	0.0031681260384378573
C17orf81	GPS2	0.48725993925306615	0.0
E2F7	TPX2	0.668837561234295	0.0
CEBPB	RBM38	0.3694489052518892	4.956476429285317E-8
MYST1	TBX6	0.410140925750875	0.0031681260384378573
IGF1	PDE7B	0.5726616658206498	4.956476429285317E-8
ZC3H15	PSMD12	0.31694087147680916	0.0
ZC3H15	PSMD14	0.3629470201695085	0.0
ZFR	SEC24B	0.5339620809158896	1.3370095167997142E-5
ZNF703	CPLX1	0.33561970173131056	1.3370095167997142E-5
DMTF1	ZMAT1	0.4499428724045278	0.0
MIER3	PGGT1B	0.4639286178302482	0.0031681260384378573
MEOX2	SLC22A3	0.5930768363348498	4.956476429285317E-8
PHF21A	AMBRA1	0.22745797006276147	0.0
ZNF628	ZNF219	0.4467236210515553	0.0031681260384378573
ZKSCAN5	TTC26	0.25656022932811107	0.0031681260384378573
HELLS	WDHD1	0.5944133136649313	0.0
MTDH	EBAG9	0.3774370485395906	1.3370095167997142E-5
FOXA1	C2orf15	0.36887982148020054	0.0
PQBP1	TRMT61A	0.47112693977559816	0.0031681260384378573
MAML2	ARHGAP21	0.4899557315782064	0.0
FOXN2	C9orf7	0.45279837188798155	0.0031681260384378573
TCEA2	PRPF6	0.37561617082338505	1.3370095167997142E-5
MAML2	ARHGAP31	0.6726999873971139	0.0
ZNF831	SH2D1A	1.1924030107763461	0.0
ZNF831	SH2D1B	0.4227424187116635	0.0031681260384378573
HMGA1	ECE2	0.48245304103363384	0.0
ZKSCAN1	GTF2I	0.4588474881105451	0.0031681260384378573
ADNP	RALGAPB	0.54250622206184	4.956476429285317E-8
PLRG1	C4orf43	0.20570542972785066	0.0
BRIP1	METTL2A	0.33793660618377974	0.0
CRTC3	IQGAP1	0.3367763230355969	1.3370095167997142E-5
TCEAL3	EML2	0.3572511670552607	0.0031681260384378573
C1orf83	MMACHC	0.20213589971098198	1.3370095167997142E-5
PLRG1	C4orf27	0.2083074319408188	0.0
TCF12	IQGAP1	0.4774313713356741	0.0
SIRT7	ARMC7	0.3837972352919044	4.956476429285317E-8
SLC11A1	GPR84	0.3263727215966966	1.3370095167997142E-5
SSBP3	PRPF38A	0.2560535733109841	0.0
CIC	PLEKHG3	0.27089461414270555	0.0031681260384378573
NDN	PID1	0.5443968224516291	0.0031681260384378573
SMARCC1	GNL3	0.2799315543236188	0.0
MACC1	PROM1	0.18613829497114337	1.3370095167997142E-5
ZCCHC24	MFAP4	0.7712263666321137	0.0
ZNF830	ZNHIT3	0.27766974651338927	0.0
ZNF292	PHIP	0.6550432039490613	4.956476429285317E-8
SCAND1	RBM42	0.6632793492831578	4.956476429285317E-8
SFRS17A	?|8225	0.4436476819376244	0.0
CREBBP	BOLA3	0.34322608846106356	4.956476429285317E-8
PTTG1	UBE2S	0.7284525352588511	0.0
PTTG1	UBE2T	0.8476531327167771	1.3370095167997142E-5
BDP1	ATRX	0.6952741540692602	0.0031681260384378573
POLR2K	ANKRD46	0.30317421411789275	1.3370095167997142E-5
PTTG1	UBE2C	1.1364838789458653	0.0
ZNF205	INO80B	0.6188960098768362	0.0
SUMO1	MYO18A	0.2593957888084256	1.3370095167997142E-5
PER2	FARP2	0.29371487714700484	0.0031681260384378573
ZNF367	ASPM	0.6571704112622292	1.3370095167997142E-5
PRKDC	POLR1A	0.41675805301109714	1.3370095167997142E-5
LDB2	SOCS2	0.40040317231414607	1.3370095167997142E-5
HES6	TIMM17B	0.4030704053423102	0.0031681260384378573
ZNF207	PIGW	0.2559914588536268	1.3370095167997142E-5
CALCOCO1	NISCH	0.38364717650584285	4.956476429285317E-8
STK36	TRIM45	0.28093444533474	1.3370095167997142E-5
LZTR1	TAB1	0.3844629143541353	0.0
TRIM33	C1orf103	0.2877516040197743	0.0031681260384378573
LDB2	MYCT1	1.1812545487098953	0.0
ZMYND15	TNNI2	0.37874675909561983	0.0
CNOT7	MTMR9	0.34578394979060495	0.0
CNOT7	MTMR7	0.19685397995244588	1.3370095167997142E-5
ZC3H7B	SUN2	0.3589887525439246	0.0
MLL	TTN	0.34313841725611366	4.956476429285317E-8
EZH1	SLC35A2	0.4142094027287384	0.0031681260384378573
CDC5L	MRS2	0.2720894785632557	0.0031681260384378573
ZNF276	CENPT	0.5619825187247607	0.0
ZNF592	SCAPER	0.33541426421846765	0.0031681260384378573
MLLT1	FEM1A	0.24523891012260468	0.0031681260384378573
MLL5	KIAA2026	0.5368538050119052	0.0031681260384378573
TMPO	TDG	0.4688121166297897	0.0
ZFAND6	WDR61	0.23020897391318002	0.0
ZFP36	FLJ43663	0.2425635717132144	0.0031681260384378573
ZFAND6	WDR73	0.19182244019109773	0.0031681260384378573
IKBKAP	ZBTB6	0.3699882190137922	0.0031681260384378573
LDB2	ATP1B2	0.6643639592825067	0.0
ZNF280D	USP5	0.35145960942500776	0.0031681260384378573
SIRT7	ARL16	0.5383055703171448	0.0
PHTF2	SULF1	0.25863196503523955	0.0031681260384378573
PML	PFKP	0.3019186412951014	0.0031681260384378573
CBX2	FAM171A2	0.2854411794790489	0.0
ATP8B1	MYST4	0.4369447297286222	0.0031681260384378573
ZCCHC3	POLR3F	0.18353498286309522	0.0
ZZEF1	C1orf31	0.40023308121967216	0.0031681260384378573
CREBL2	RTKN	0.4834868924633523	0.0
RNF10	PRKAB1	0.25607013624179437	0.0
ATF6B	MAPK13	0.21987770344305524	0.0031681260384378573
NEDD8	OXA1L	0.2961628321061347	0.0
ZNF446	ZMYND10	0.39807349729675434	0.0031681260384378573
PCBD2	BRD8	0.3128760809995378	0.0
ZNF589	LEAP2	0.19046052577882966	0.0031681260384378573
ZMYM1	SCAI	0.3735139051787251	4.956476429285317E-8
TCEAL7	NDN	0.6825850518671638	0.0
NCOA6	PLAGL2	0.3577283438474953	0.0
ZNF831	CLEC10A	0.5966129584029343	4.956476429285317E-8
DRAP1	ZFP106	0.501351959258685	0.0031681260384378573
ZNF787	RBM10	0.5885013041353342	0.0031681260384378573
ZFP36	C2CD4B	0.39179554797329513	1.3370095167997142E-5
ZNF787	RBM42	0.7390901507559611	0.0
C14orf156	RNF181	0.46821251422942395	0.0
SCML2	ZNF639	0.2926469120200874	0.0031681260384378573
C1D	UBE2B	0.16151782678665022	0.0
AKIRIN2	RARS2	0.32170266641020556	4.956476429285317E-8
ZEB1	CDKN2B	0.35780573638083607	4.956476429285317E-8
RARB	MOBKL2B	0.41935414271160576	1.3370095167997142E-5
HSF1	SHARPIN	0.8158952130451809	4.956476429285317E-8
CCNL1	FNBP4	0.4237963113869932	0.0
CIZ1	PUS10	0.17043519012903685	0.0031681260384378573
RORC	NOSTRIN	0.28143987704390483	4.956476429285317E-8
NFE2L2	TANK	0.35545256983153006	0.0
ETV3L	SOX10	0.3498126889785829	4.956476429285317E-8
CBFB	ME2	0.3049671078478158	0.0031681260384378573
ZEB2	PRDM1	0.5075967065659908	1.3370095167997142E-5
ZSWIM7	NCRNA00188	0.2570280856595346	1.3370095167997142E-5
CBX7	ATOH8	0.41923769247003495	0.0031681260384378573
RQCD1	MOBKL1B	0.4654172109052652	4.956476429285317E-8
CCNL1	CAPN3	0.3319574436935305	0.0
MEOX1	CFP	0.4379646217582157	0.0
GTF2H4	BAT1	0.3168272905098446	0.0031681260384378573
GTF2H4	BAT2	0.3163492640990322	1.3370095167997142E-5
ZNF643	RFWD3	0.3641811689881086	1.3370095167997142E-5
PHF5A	TOMM22	0.6924079051222811	0.0
DLX5	SFRP2	0.3357237124886662	4.956476429285317E-8
THAP7	SCAND1	0.5636210354195815	4.956476429285317E-8
MEN1	BANF1	0.4082347921336129	0.0
ATAD2	TPD52	0.3448789886117716	0.0031681260384378573
HOXA3	WDR86	0.49932129170881384	4.956476429285317E-8
MAPK8IP1	SYP	0.20877546179556372	0.0
FOXN2	MBOAT7	0.40077726366723415	4.956476429285317E-8
RNF4	GRPEL1	0.2019468537244491	0.0
ZBTB8OS	HBXIP	0.37057051067869895	0.0031681260384378573
TCEAL7	OGN	0.5914003180502523	1.3370095167997142E-5
ZNF335	PCIF1	0.243757195742502	0.0031681260384378573
CNBP	COQ3	0.20541361670692426	0.0031681260384378573
ZCCHC9	XRCC4	0.21235567806786534	0.0
GPBP1	RAD17	0.5411683740313995	4.956476429285317E-8
EDF1	DNAJC17	0.5294727225370418	0.0
SAP30L	SMAD5	0.4022715900722231	1.3370095167997142E-5
MAPK1	ARFGAP3	0.22740748475093184	1.3370095167997142E-5
ATRX	DENND4C	0.6132060292509677	0.0
ZNF193	NPLOC4	0.16546674094471125	0.0031681260384378573
C5orf41	GTF3C6	0.3308813109379658	4.956476429285317E-8
SETD2	IP6K1	0.2795893586546633	1.3370095167997142E-5
ZNF639	SCML2	0.29264691202008697	0.0031681260384378573
ZNF445	LIMD1	0.3661284564253079	0.0
ZC3H8	CCDC41	0.1869383756070977	0.0031681260384378573
ZC3H8	CCDC45	0.18008361036608883	1.3370095167997142E-5
RPS6KA4	HLA-F	0.3675561086430963	0.0031681260384378573
SPI1	SLC15A3	0.7781135376907499	0.0
PTRF	SLC12A4	0.5817770973509928	0.0
SALL4	WISP1	0.4901580184225912	1.3370095167997142E-5
KLF15	PPP1R1A	0.40422032369999283	0.0031681260384378573
ZNF410	BAG5	0.2381122813153551	0.0031681260384378573
SLA2	JAK3	0.8455296211127685	0.0
SPEN	PRDM2	0.5686660030074868	0.0
ZNF697	TSHZ3	0.28024875284554085	0.0031681260384378573
ETV4	ZSWIM4	0.2415952202465815	4.956476429285317E-8
RIPK3	GAB3	0.28175493143576313	1.3370095167997142E-5
ATOH8	ALDH1L1	0.6079754552147352	1.3370095167997142E-5
DMTF1	GATAD1	0.2803396924075927	0.0031681260384378573
SUZ12	DDX52	0.5219564033448072	0.0
GATAD1	TRIM4	0.27123706068313985	4.956476429285317E-8
TRAFD1	DDX23	0.2299768291041735	0.0031681260384378573
GATA3	C20orf26	0.44867397095775985	0.0031681260384378573
BAZ1B	ZNF398	0.2777713900147349	1.3370095167997142E-5
SUMO1	NDUFB3	0.4163080141050268	0.0
DMTF1	SFRS11	0.42515953159698705	0.0
DMTF1	SFRS18	0.46837327411784535	0.0
ERCC3	SUPT7L	0.1868219900754946	1.3370095167997142E-5
C20orf20	GMEB2	0.3685728050625149	0.0
ZNF592	ARID3B	0.19333680582830817	4.956476429285317E-8
IKZF1	LOC100233209	0.777443318822689	0.0
ATXN7L3	CCDC43	0.3053500717490216	4.956476429285317E-8
MEOX1	C18orf34	0.7320092161968966	0.0
SUV420H2	LRDD	0.5374076286897967	1.3370095167997142E-5
ACVRL1	GPBAR1	0.46843412438922605	0.0031681260384378573
CDCA7	KIAA0020	0.37102164492723866	0.0
ZMAT1	PPP1R3E	0.2973205633660096	4.956476429285317E-8
PBX4	ACAP1	0.3514469889151629	1.3370095167997142E-5
ZNF124	SFT2D2	0.3085001365004152	0.0031681260384378573
IL11	UCN2	0.28138130977943937	0.0
PER1	KLF9	0.4278286758782451	0.0
SPI1	PRAM1	0.5891238461393117	0.0
NR3C1	MAZ	0.44531307591323865	0.0031681260384378573
HMGA1	MAP4K2	0.24983358029616132	0.0031681260384378573
ZCCHC10	NUDT12	0.3692992453494794	1.3370095167997142E-5
UBN1	ERCC4	0.4354115892590687	0.0
E2F4	JMJD6	0.2912960425187231	1.3370095167997142E-5
TCF3	REXO1	0.4016485987159272	0.0
